CCI,Control,Pub,
CCI-000064,AC-17_b,NIST_SP_800-53,
CCI-000065,AC-17_b,NIST_SP_800-53_Revision_4,
CCI-001402,AC-17_c,NIST_SP_800-53,
CCI-000065,AC-17_d,NIST_SP_800-53,
CCI-000066,AC-17_e,NIST_SP_800-53,
CCI-000063,AC-17.1_(i),NIST_SP_800-53A,
CCI-000064,AC-17.1_(ii),NIST_SP_800-53A,
CCI-001402,AC-17.1_(iii),NIST_SP_800-53A,
CCI-000065,AC-17.1_(iv),NIST_SP_800-53A,
CCI-000066,AC-17.1_(v),NIST_SP_800-53A,
CCI-001443,AC-18_(1),NIST_SP_800-53,
CCI-001443,AC-18_(1),NIST_SP_800-53_Revision_4,
CCI-001444,AC-18_(1),NIST_SP_800-53,
CCI-001444,AC-18_(1),NIST_SP_800-53_Revision_4,
CCI-001443,AC-18_(1).1,NIST_SP_800-53A,
CCI-001444,AC-18_(1).1,NIST_SP_800-53A,
CCI-001563,AC-18_(2),NIST_SP_800-53,
CCI-001445,AC-18_(2),NIST_SP_800-53,
CCI-001446,AC-18_(2),NIST_SP_800-53,
CCI-001447,AC-18_(2),NIST_SP_800-53,
CCI-001448,AC-18_(2),NIST_SP_800-53,
CCI-001447,AC-18_(2).1_(i),NIST_SP_800-53A,
CCI-001445,AC-18_(2).1_(ii),NIST_SP_800-53A,
CCI-001446,AC-18_(2).1_(ii),NIST_SP_800-53A,
CCI-001563,AC-18_(2).1_(iii),NIST_SP_800-53A,
CCI-001448,AC-18_(2).1_(iv),NIST_SP_800-53A,
CCI-001449,AC-18_(3),NIST_SP_800-53,
CCI-001449,AC-18_(3),NIST_SP_800-53_Revision_4,
CCI-001449,AC-18_(3).1,NIST_SP_800-53A,
CCI-001450,AC-18_(4),NIST_SP_800-53,
CCI-002324,AC-18_(4),NIST_SP_800-53_Revision_4,
CCI-001450,AC-18_(4).1,NIST_SP_800-53A,
CCI-001451,AC-18_(5),NIST_SP_800-53,
CCI-001451,AC-18_(5),NIST_SP_800-53_Revision_4,
CCI-001451,AC-18_(5).1,NIST_SP_800-53A,
CCI-001438,AC-18_a,NIST_SP_800-53,
CCI-001438,AC-18_a,NIST_SP_800-53_Revision_4,
CCI-001439,AC-18_a,NIST_SP_800-53,
CCI-001439,AC-18_a,NIST_SP_800-53_Revision_4,
CCI-002323,AC-18_a,NIST_SP_800-53_Revision_4,
CCI-001440,AC-18_b,NIST_SP_800-53,
CCI-001441,AC-18_b,NIST_SP_800-53_Revision_4,
CCI-001441,AC-18_c,NIST_SP_800-53,
CCI-001442,AC-18_d,NIST_SP_800-53,
CCI-001438,AC-18.1_(i),NIST_SP_800-53A,
CCI-001439,AC-18.1_(i),NIST_SP_800-53A,
CCI-001440,AC-18.1_(ii),NIST_SP_800-53A,
CCI-001441,AC-18.1_(iii),NIST_SP_800-53A,
CCI-001442,AC-18.1_(iv),NIST_SP_800-53A,
CCI-000090,AC-19_(1),NIST_SP_800-53,
CCI-000090,AC-19_(1).1,NIST_SP_800-53A,
CCI-000091,AC-19_(2),NIST_SP_800-53,
CCI-000091,AC-19_(2).1,NIST_SP_800-53A,
CCI-000092,AC-19_(3),NIST_SP_800-53,
CCI-000092,AC-19_(3).1,NIST_SP_800-53A,
CCI-001330,AC-19_(4)_(a),NIST_SP_800-53,
CCI-001330,AC-19_(4)_(a),NIST_SP_800-53_Revision_4,
CCI-001458,AC-19_(4)_(b),NIST_SP_800-53,
CCI-001331,AC-19_(4)_(b),NIST_SP_800-53,
CCI-001332,AC-19_(4)_(b),NIST_SP_800-53,
CCI-001333,AC-19_(4)_(b),NIST_SP_800-53,
CCI-001334,AC-19_(4)_(b),NIST_SP_800-53,
CCI-001335,AC-19_(4)_(b),NIST_SP_800-53,
CCI-001331,AC-19_(4)_(b)_(1),NIST_SP_800-53_Revision_4,
CCI-001332,AC-19_(4)_(b)_(2),NIST_SP_800-53_Revision_4,
CCI-001333,AC-19_(4)_(b)_(3),NIST_SP_800-53_Revision_4,
CCI-001458,AC-19_(4)_(b)_(4),NIST_SP_800-53_Revision_4,
CCI-001334,AC-19_(4)_(b)_(4),NIST_SP_800-53_Revision_4,
CCI-001335,AC-19_(4)_(b)_(4),NIST_SP_800-53_Revision_4,
CCI-002327,AC-19_(4)_(c),NIST_SP_800-53_Revision_4,
CCI-002328,AC-19_(4)_(c),NIST_SP_800-53_Revision_4,
CCI-001330,AC-19_(4).1_(i),NIST_SP_800-53A,
CCI-001335,AC-19_(4).1_(ii),NIST_SP_800-53A,
CCI-001458,AC-19_(4).1_(iii),NIST_SP_800-53A,
CCI-001331,AC-19_(4).1_(iii),NIST_SP_800-53A,
CCI-001332,AC-19_(4).1_(iii),NIST_SP_800-53A,
CCI-001333,AC-19_(4).1_(iii),NIST_SP_800-53A,
CCI-001334,AC-19_(4).1_(iii),NIST_SP_800-53A,
CCI-002329,AC-19_(5),NIST_SP_800-53_Revision_4,
CCI-002330,AC-19_(5),NIST_SP_800-53_Revision_4,
CCI-002331,AC-19_(5),NIST_SP_800-53_Revision_4,
CCI-000082,AC-19_a,NIST_SP_800-53,
CCI-000082,AC-19_a,NIST_SP_800-53_Revision_4,
CCI-000083,AC-19_a,NIST_SP_800-53,
CCI-000083,AC-19_a,NIST_SP_800-53_Revision_4,
CCI-002325,AC-19_a,NIST_SP_800-53_Revision_4,
CCI-002326,AC-19_a,NIST_SP_800-53_Revision_4,
CCI-000084,AC-19_b,NIST_SP_800-53,
CCI-000084,AC-19_b,NIST_SP_800-53_Revision_4,
CCI-000085,AC-19_c,NIST_SP_800-53,
CCI-000086,AC-19_d,NIST_SP_800-53,
CCI-000087,AC-19_e,NIST_SP_800-53,
CCI-000088,AC-19_f,NIST_SP_800-53,
CCI-001456,AC-19_f,NIST_SP_800-53,
CCI-000089,AC-19_g,NIST_SP_800-53,
CCI-001457,AC-19_g,NIST_SP_800-53,
CCI-000082,AC-19.1_(i),NIST_SP_800-53A,
CCI-000083,AC-19.1_(i),NIST_SP_800-53A,
CCI-000084,AC-19.1_(ii),NIST_SP_800-53A,
CCI-000085,AC-19.1_(iii),NIST_SP_800-53A,
CCI-000086,AC-19.1_(iv),NIST_SP_800-53A,
CCI-000087,AC-19.1_(v),NIST_SP_800-53A,
CCI-000088,AC-19.1_(vi),NIST_SP_800-53A,
CCI-001456,AC-19.1_(vi),NIST_SP_800-53A,
CCI-001457,AC-19.1_(vii),NIST_SP_800-53A,
CCI-000089,AC-19.1_(viii),NIST_SP_800-53A,
CCI-000015,AC-2_(1),NIST_SP_800-53,
CCI-000015,AC-2_(1),NIST_SP_800-53_Revision_4,
CCI-000015,AC-2_(1).1,NIST_SP_800-53A,
CCI-002142,AC-2_(10),NIST_SP_800-53_Revision_4,
CCI-002143,AC-2_(11),NIST_SP_800-53_Revision_4,
CCI-002144,AC-2_(11),NIST_SP_800-53_Revision_4,
CCI-002145,AC-2_(11),NIST_SP_800-53_Revision_4,
CCI-002146,AC-2_(12)_(a),NIST_SP_800-53_Revision_4,
CCI-002147,AC-2_(12)_(a),NIST_SP_800-53_Revision_4,
CCI-002148,AC-2_(12)_(b),NIST_SP_800-53_Revision_4,
CCI-002149,AC-2_(12)_(b),NIST_SP_800-53_Revision_4,
CCI-002150,AC-2_(13),NIST_SP_800-53_Revision_4,
CCI-002151,AC-2_(13),NIST_SP_800-53_Revision_4,
CCI-000016,AC-2_(2),NIST_SP_800-53,
CCI-000016,AC-2_(2),NIST_SP_800-53_Revision_4,
CCI-001361,AC-2_(2),NIST_SP_800-53,
CCI-001361,AC-2_(2),NIST_SP_800-53_Revision_4,
CCI-001365,AC-2_(2),NIST_SP_800-53,
CCI-001365,AC-2_(2),NIST_SP_800-53_Revision_4,
CCI-001682,AC-2_(2),NIST_SP_800-53,
CCI-001682,AC-2_(2),NIST_SP_800-53_Revision_4,
CCI-001361,AC-2_(2).1_(i),NIST_SP_800-53A,
CCI-001365,AC-2_(2).1_(i),NIST_SP_800-53A,
CCI-000016,AC-2_(2).1_(ii),NIST_SP_800-53A,
CCI-001682,AC-2_(2).1_(ii),NIST_SP_800-53A,
CCI-000017,AC-2_(3),NIST_SP_800-53,
CCI-000017,AC-2_(3),NIST_SP_800-53_Revision_4,
CCI-000217,AC-2_(3),NIST_SP_800-53,
CCI-000217,AC-2_(3),NIST_SP_800-53_Revision_4,
CCI-000217,AC-2_(3).1_(i),NIST_SP_800-53A,
CCI-000017,AC-2_(3).1_(ii),NIST_SP_800-53A,
CCI-000018,AC-2_(4),NIST_SP_800-53,
CCI-000018,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-001403,AC-2_(4),NIST_SP_800-53,
CCI-001403,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-001404,AC-2_(4),NIST_SP_800-53,
CCI-001404,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-001405,AC-2_(4),NIST_SP_800-53,
CCI-001405,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-001683,AC-2_(4),NIST_SP_800-53,
CCI-001683,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-001684,AC-2_(4),NIST_SP_800-53,
CCI-001684,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-001685,AC-2_(4),NIST_SP_800-53,
CCI-001685,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-001686,AC-2_(4),NIST_SP_800-53,
CCI-001686,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-002130,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-002131,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-002132,AC-2_(4),NIST_SP_800-53_Revision_4,
CCI-000018,AC-2_(4).1_(i_and_ii),NIST_SP_800-53A,
CCI-001403,AC-2_(4).1_(i_and_ii),NIST_SP_800-53A,
CCI-001404,AC-2_(4).1_(i_and_ii),NIST_SP_800-53A,
CCI-001405,AC-2_(4).1_(i_and_ii),NIST_SP_800-53A,
CCI-001683,AC-2_(4).1_(i_and_ii),NIST_SP_800-53A,
CCI-001684,AC-2_(4).1_(i_and_ii),NIST_SP_800-53A,
CCI-001685,AC-2_(4).1_(i_and_ii),NIST_SP_800-53A,
CCI-001686,AC-2_(4).1_(i_and_ii),NIST_SP_800-53A,
CCI-000019,AC-2_(5),NIST_SP_800-53_Revision_4,
CCI-001406,AC-2_(5),NIST_SP_800-53_Revision_4,
CCI-002133,AC-2_(5),NIST_SP_800-53_Revision_4,
CCI-000019,AC-2_(5)_(a),NIST_SP_800-53,
CCI-001406,AC-2_(5)_(a),NIST_SP_800-53,
CCI-000208,AC-2_(5)_(b),NIST_SP_800-53,
CCI-001356,AC-2_(5)_(c),NIST_SP_800-53,
CCI-001357,AC-2_(5)_(d),NIST_SP_800-53,
CCI-001406,AC-2_(5).1_(i),NIST_SP_800-53A,
CCI-000019,AC-2_(5).1_(ii),NIST_SP_800-53A,
CCI-000208,AC-2_(5).1_(iii),NIST_SP_800-53A,
CCI-001356,AC-2_(5).1_(iv),NIST_SP_800-53A,
CCI-001357,AC-2_(5).1_(v),NIST_SP_800-53A,
CCI-000020,AC-2_(6),NIST_SP_800-53,
CCI-002134,AC-2_(6),NIST_SP_800-53_Revision_4,
CCI-002135,AC-2_(6),NIST_SP_800-53_Revision_4,
CCI-000020,AC-2_(6).1,NIST_SP_800-53A,
CCI-001407,AC-2_(7)_(a),NIST_SP_800-53,
CCI-001407,AC-2_(7)_(a),NIST_SP_800-53_Revision_4,
CCI-001358,AC-2_(7)_(a),NIST_SP_800-53,
CCI-001358,AC-2_(7)_(a),NIST_SP_800-53_Revision_4,
CCI-001359,AC-2_(7)_(b),NIST_SP_800-53,
CCI-001360,AC-2_(7)_(b),NIST_SP_800-53,
CCI-001360,AC-2_(7)_(b),NIST_SP_800-53_Revision_4,
CCI-002136,AC-2_(7)_(c),NIST_SP_800-53_Revision_4,
CCI-002137,AC-2_(7)_(c),NIST_SP_800-53_Revision_4,
CCI-001407,AC-2_(7).1_(i),NIST_SP_800-53A,
CCI-001358,AC-2_(7).1_(i),NIST_SP_800-53A,
CCI-001359,AC-2_(7).1_(ii),NIST_SP_800-53A,
CCI-001360,AC-2_(7).1_(ii),NIST_SP_800-53A,
CCI-002138,AC-2_(8),NIST_SP_800-53_Revision_4,
CCI-002139,AC-2_(8),NIST_SP_800-53_Revision_4,
CCI-002140,AC-2_(9),NIST_SP_800-53_Revision_4,
CCI-002141,AC-2_(9),NIST_SP_800-53_Revision_4,
CCI-000007,AC-2_a,NIST_SP_800-53,
CCI-002110,AC-2_a,NIST_SP_800-53_Revision_4,
CCI-002111,AC-2_a,NIST_SP_800-53_Revision_4,
CCI-000008,AC-2_b,NIST_SP_800-53,
CCI-002112,AC-2_b,NIST_SP_800-53_Revision_4,
CCI-000008,AC-2_c,NIST_SP_800-53_Revision_4,
CCI-000009,AC-2_c,NIST_SP_800-53,
CCI-002113,AC-2_c,NIST_SP_800-53_Revision_4,
CCI-000010,AC-2_d,NIST_SP_800-53,
CCI-002114,AC-2_d,NIST_SP_800-53_Revision_4,
CCI-002115,AC-2_d,NIST_SP_800-53_Revision_4,
CCI-002116,AC-2_d,NIST_SP_800-53_Revision_4,
CCI-002117,AC-2_d,NIST_SP_800-53_Revision_4,
CCI-002118,AC-2_d,NIST_SP_800-53_Revision_4,
CCI-002119,AC-2_d,NIST_SP_800-53_Revision_4,
CCI-000010,AC-2_e,NIST_SP_800-53_Revision_4,
CCI-000011,AC-2_e,NIST_SP_800-53,
CCI-002120,AC-2_e,NIST_SP_800-53_Revision_4,
CCI-000011,AC-2_f,NIST_SP_800-53_Revision_4,
CCI-000237,AC-2_f,NIST_SP_800-53,
CCI-002121,AC-2_f,NIST_SP_800-53_Revision_4,
CCI-000013,AC-2_g,NIST_SP_800-53,
CCI-002122,AC-2_g,NIST_SP_800-53_Revision_4,
CCI-001354,AC-2_h,NIST_SP_800-53,
CCI-001355,AC-2_h,NIST_SP_800-53,
CCI-002123,AC-2_h_1,NIST_SP_800-53_Revision_4,
CCI-002124,AC-2_h_2,NIST_SP_800-53_Revision_4,
CCI-002125,AC-2_h_3,NIST_SP_800-53_Revision_4,
CCI-000014,AC-2_i,NIST_SP_800-53,
CCI-002126,AC-2_i_1,NIST_SP_800-53_Revision_4,
CCI-002127,AC-2_i_2,NIST_SP_800-53_Revision_4,
CCI-002128,AC-2_i_3,NIST_SP_800-53_Revision_4,
